IDLabelStudio,N,sector,unidadSocial,machoAlfa,machoAlfaMerto,machosOtros,hembras,lactantes,destetadas,totalElefanteVivos,lMuertasRec,lMuertasInterm,otrosMachosMuertos,hembrasMuertas,destetadosMuertos,totalCriasMuertas,totalElefantesMuertos,lobosMuertos,gaviotas,residuosTotales,latitud,longitud,,residuosTotalesCajonesYOtros),gaviotas,totalElefanteVivos,totalElefantesMuertos,lobosMuertos
77934650,1138,sur,GH,2,0,2,74,43,3,124,29,3,0,0,1,33,33,0,39,0,-42.842605,-63.916691,,0,39,124,33,0
77934650,1138,sur,S,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.842605,-63.916691,,0,0,2,0,0
77934655,1140,sur,S,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-42.837435,-63.908483,,0,0,5,0,0
77934654,1141,sur,H1,1,0,2,22,5,1,31,5,0,0,0,0,5,5,1,0,0,-42.836823,-63.906927,,0,0,31,5,1
77934652,1143,sur,H1,1,0,0,12,7,2,22,5,1,0,0,1,7,7,0,7,0,-42.83664,-63.904522,,0,7,22,7,0
77934648,1144,sur,H1,1,0,3,34,20,2,60,6,2,0,0,0,8,8,1,20,0,-42.836447,-63.901175,,0,20,60,8,1
77934645,1147,sur,H1,1,0,0,2,0,1,4,3,1,0,0,0,4,4,0,0,0,-42.836214,-63.896698,,0,0,4,4,0
77934635,1151,sur,H1,1,0,2,96,74,4,177,8,4,0,0,0,12,12,0,2,221,-42.836301,-63.894539,,221,2,177,12,0
77934640,1153,sur,H1,1,0,1,20,8,1,31,3,3,0,0,1,7,7,0,126,0,-42.836347,-63.892897,,0,126,31,7,0
77934639,1154,sur,S,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,-42.835925,-63.890681,,0,18,0,1,0
77934638,1155,sur,S,0,0,1,0,0,1,2,1,0,0,0,0,1,1,1,2,0,-42.835643,-63.888784,,0,2,2,1,1
77934636,1157,sur,H1,1,0,1,45,24,1,72,8,5,0,0,0,13,13,1,11,0,-42.835416,-63.88509,,0,11,72,13,1
77934633,1159,sur,H1,1,0,1,22,14,2,40,1,0,0,0,0,1,1,1,14,0,-42.835336,-63.883721,,0,14,40,1,1
77934632,1160,sur,H1,1,0,2,31,13,3,50,3,3,0,0,0,6,6,0,0,0,-42.8351,-63.882159,,0,0,50,6,0
77934630,1162,sur,H1,1,0,0,37,19,8,65,5,4,0,0,0,9,9,3,2,0,-42.834956,-63.880479,,0,2,65,9,3
77934629,1163,sur,H1,1,0,0,15,6,2,24,1,0,0,0,0,1,1,0,0,0,-42.834855,-63.878555,,0,0,24,1,0
77934628,1164,sur,H1,1,0,4,24,15,0,44,2,4,0,0,0,6,6,0,0,0,-42.835719,-63.876066,,0,0,44,6,0
77934626,1165,sur,H1,1,0,1,4,2,0,8,0,0,0,0,0,0,0,0,0,0,-42.835627,-63.875261,,0,0,8,0,0
77934626,1165,sur,H2,1,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,-42.835627,-63.875261,,0,0,7,0,0
77934626,1165,sur,S,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-42.835627,-63.875261,,0,0,4,0,0
77934622,1169,sur,PS,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,-42.833759,-63.872546,,0,0,3,0,0
77934622,1169,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.833759,-63.872547,,0,0,1,0,0
77934745,1171,sur,H1,1,0,2,42,22,1,68,1,0,0,0,0,1,1,0,0,0,-42.832147,-63.870202,,0,0,68,1,0
77934744,1172,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.83178,-63.868914,,0,0,1,0,0
77934743,1173,sur,H1,1,0,0,41,21,9,72,2,0,0,0,0,2,2,0,0,0,-42.831486,-63.867375,,0,0,72,2,0
77934741,1175,sur,GH,3,0,2,83,65,11,164,19,3,1,0,1,23,24,0,10,0,-42.830985,-63.865119,,0,10,164,24,0
77934739,1177,sur,H1,1,0,2,19,10,0,32,23,8,0,0,1,32,32,0,85,0,-42.830311,-63.862231,,0,85,32,32,0
77934738,1178,sur,H1,1,0,0,22,13,0,36,10,0,0,0,1,11,11,0,102,64,-42.830147,-63.861492,,64,102,36,11,0
77934737,1180,sur,H1,1,0,0,4,2,0,7,0,1,0,0,0,1,1,0,6,0,-42.829802,-63.860492,,0,6,7,1,0
77934874,1181,sur,H1,1,0,2,20,13,2,38,0,0,0,0,0,0,0,0,1,0,-42.830466,-63.862773,,0,1,38,0,0
77934880,1182,sur,H1,1,0,0,53,29,9,92,9,0,0,0,0,9,9,0,1,606,-42.829215,-63.857104,,606,1,92,9,0
77934880,1182,sur,H2,1,0,1,9,7,1,19,2,0,0,0,0,2,2,0,0,0,-42.829215,-63.857104,,0,0,19,2,0
77934877,1185,sur,H1,1,0,0,32,25,4,62,1,0,0,0,0,1,1,0,2,140,-42.828137,-63.852006,,140,2,62,1,0
77934876,1186,sur,S,0,0,0,0,0,0,0,3,1,0,0,0,4,4,1,23,75,-42.82789,-63.850679,,75,23,0,4,1
77934875,1187,sur,H1,1,0,2,6,4,0,13,0,0,0,0,0,0,0,0,0,45,-42.827855,-63.849406,,45,0,13,0,0
77934871,1189,sur,S,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,192,-42.828405,-63.845632,,192,0,2,0,0
77934869,1191,sur,GH,2,0,1,41,28,6,78,3,1,0,0,1,5,5,2,0,454,-42.82865,-63.844891,,454,0,78,5,2
77934873,1193,sur,S,0,0,9,0,0,0,9,1,0,1,0,0,1,2,0,115,0,-42.829077,-63.84369,,0,115,9,2,0
77934864,1196,sur,H1,1,0,2,73,44,17,137,6,1,0,0,0,7,7,1,0,0,-42.826265,-63.840567,,0,0,137,7,1
77934863,1197,sur,S,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,-42.825745,-63.839324,,0,0,11,0,0
77934863,1197,sur,PS,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,-42.825745,-63.839324,,0,0,3,0,0
77934862,1198,sur,H1,1,0,1,44,27,7,80,1,0,0,0,0,1,1,1,0,0,-42.824904,-63.836626,,0,0,80,1,1
77934867,1199,sur,H1,1,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,-42.825255,-63.837798,,0,0,6,0,0
77934860,1200,sur,H1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,-42.825079,-63.837194,,0,0,3,0,1
77934859,1201,sur,PS,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.824166,-63.833041,,0,0,2,0,0
77934858,1202,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.824000,-63.831466,,0,0,2,0,0
77934858,1202,sur,H1,1,0,0,14,3,1,19,0,1,0,0,0,1,1,0,0,0,-42.824013,-63.831969,,0,0,19,1,0
77934856,1204,sur,H1,1,0,2,62,37,1,103,1,0,0,0,0,1,1,0,0,0,-42.823902,-63.828765,,0,0,103,1,0
77934849,1208,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.822483,-63.817132,,0,0,1,0,0
77934854,1209,sur,S,0,0,6,2,0,0,8,0,0,0,0,0,0,0,0,0,0,-42.82313,-63.815456,,0,0,8,0,0
77934843,1213,sur,H1,1,0,3,5,1,0,10,0,0,0,0,0,0,0,3,145,0,-42.818657,-63.806679,,0,145,10,0,3
77934846,1216,sur,H1,1,0,0,41,35,5,82,1,0,0,0,0,1,1,1,61,0,-42.818361,-63.805675,,0,61,82,1,1
77934841,1220,sur,H1,1,0,0,29,19,0,49,19,0,0,0,0,19,19,1,1,0,-42.817505,-63.800616,,0,1,49,19,1
77934838,1223,sur,H1,1,0,0,13,4,0,18,5,0,1,0,0,5,6,0,105,0,-42.816931,-63.799409,,0,105,18,6,0
77969792,1226,sur,H1,1,0,1,11,7,0,20,1,1,0,0,0,2,2,1,42,0,-42.81563,-63.796422,,0,42,20,2,1
77969798,1227,sur,H1,1,0,1,18,11,0,31,6,2,0,0,0,8,8,5,81,0,-42.81548,-63.795961,,0,81,31,8,5
77969795,1230,sur,S,0,0,1,2,0,0,3,1,0,0,0,0,1,1,0,296,0,-42.815057,-63.794221,,0,296,3,1,0
77969793,1232,sur,H1s/m,0,0,0,9,3,0,12,3,0,0,0,0,3,3,2,0,0,-42.813699,-63.786949,,0,0,12,3,2
77969788,1235,sur,H1,0,1,0,24,18,0,42,4,0,0,0,0,4,4,2,4,0,-42.813303,-63.783642,,0,4,42,4,2
77969791,1240,sur,H1,1,0,1,19,15,0,36,1,1,0,0,0,2,2,0,0,0,-42.812881,-63.779074,,0,0,36,2,0
