timestamp,significant_wave_height_spotter,wind_speed_spotter,bottom_temperature_spotter,top_temperature_spotter
2023-01-25T04:48:00.000Z,,,14,14.240000000000002
2023-01-25T05:08:00.000Z,0.27,1.2,14.020000000000003,14.240000000000002
2023-01-25T05:28:00.000Z,,,13.939999999999998,14.160000000000004
2023-01-25T05:48:00.000Z,,,13.799999999999997,14.04
2023-01-25T06:08:00.000Z,,,13.799999999999997,14
2023-01-25T06:28:00.000Z,,,13.700000000000003,13.899999999999999
2023-01-25T06:38:00.000Z,0.27,2.8,,
2023-01-25T06:48:00.000Z,,,13.600000000000001,13.719999999999999
2023-01-25T07:08:00.000Z,0.23,2,13.619999999999997,13.799999999999997
2023-01-25T07:28:00.000Z,,,13.54,13.68
2023-01-25T07:48:00.000Z,,,13.480000000000004,13.600000000000001
2023-01-25T08:08:00.000Z,,,13.5,13.619999999999997
2023-01-25T08:28:00.000Z,,,13.520000000000003,13.619999999999997
2023-01-25T08:38:00.000Z,0.22,4,,
2023-01-25T08:48:00.000Z,,,13.619999999999997,13.719999999999999
2023-01-25T09:08:00.000Z,0.24,0,13.759999999999998,13.899999999999999
2023-01-25T09:28:00.000Z,,,13.920000000000002,14.160000000000004
2023-01-25T09:48:00.000Z,,,13.920000000000002,14.380000000000003
2023-01-25T10:08:00.000Z,,,14.079999999999998,14.54
2023-01-25T10:28:00.000Z,,,14.18,14.68
2023-01-25T10:38:00.000Z,0.25,0.4,,
2023-01-25T10:48:00.000Z,,,14.300000000000004,14.700000000000003
2023-01-25T11:08:00.000Z,0.25,0.4,14.380000000000003,14.759999999999998
2023-01-25T11:28:00.000Z,,,14.5,14.82
2023-01-25T11:48:00.000Z,,,14.719999999999999,14.899999999999999
2023-01-25T12:08:00.000Z,,,14.719999999999999,14.880000000000003
2023-01-25T12:28:00.000Z,,,14.600000000000001,14.939999999999998
2023-01-25T12:38:00.000Z,0.35,10.8,,
2023-01-25T12:48:00.000Z,,,14.719999999999999,15.020000000000003
2023-01-25T13:08:00.000Z,0.32,8.8,14.86,15.079999999999998
2023-01-25T13:28:00.000Z,,,15.060000000000002,15.219999999999999
2023-01-25T13:48:00.000Z,,,15.14,15.240000000000002
2023-01-25T14:08:00.000Z,,,14.939999999999998,15.160000000000004
2023-01-25T14:28:00.000Z,,,14.82,15.060000000000002
2023-01-25T14:38:00.000Z,0.23,1.2,,
2023-01-25T14:48:00.000Z,,,14.840000000000003,15.020000000000003
2023-01-25T15:08:00.000Z,0.21,1.2,14.719999999999999,14.980000000000004
2023-01-25T15:28:00.000Z,,,14.619999999999997,14.86
2023-01-25T15:48:00.000Z,,,14.600000000000001,14.800000000000004
2023-01-25T16:08:00.000Z,,,14.54,14.82
2023-01-25T16:28:00.000Z,,,14.480000000000004,14.800000000000004
2023-01-25T16:38:00.000Z,0.2,0.4,,
